model_id,mean_per_class_error,logloss,rmse,mse
StackedEnsemble_AllModels_1_AutoML_3_20260728_193450,0.0057471264367816,0.0477777965425776,0.1063819309101042,0.0113171152241621
GBM_2_AutoML_3_20260728_193450,0.0114942528735632,0.038674133622757,0.1102618320257038,0.0121576716016645
DeepLearning_grid_1_AutoML_3_20260728_193450_model_2,0.0114942528735632,0.0715700811412881,0.1373860131874546,0.0188749166195434
GBM_3_AutoML_3_20260728_193450,0.0114942528735632,0.0360966279817555,0.1054799362390993,0.0111260169490044
GBM_4_AutoML_3_20260728_193450,0.0114942528735632,0.040698612754313,0.1093228289145214,0.0119514809218737
XRT_1_AutoML_3_20260728_193450,0.0114942528735632,0.1365191915282404,0.1695085408215417,0.0287331454114482
StackedEnsemble_BestOfFamily_1_AutoML_3_20260728_193450,0.0114942528735632,0.0605868825498552,0.1244949584497624,0.015498994679408
GBM_grid_1_AutoML_3_20260728_193450_model_1,0.0114942528735632,0.0591322510258512,0.123505596425567,0.015253632348435
GBM_grid_1_AutoML_3_20260728_193450_model_2,0.0172413793103448,0.0501842482312549,0.1267484671042345,0.0160651739132732
GBM_grid_1_AutoML_3_20260728_193450_model_3,0.0172413793103448,0.0423617892616789,0.1177516442056396,0.0138654497131315
GBM_5_AutoML_3_20260728_193450,0.0200412614205717,0.0759058300310781,0.146097406840769,0.0213444522855971
DRF_1_AutoML_3_20260728_193450,0.0229885057471264,0.1373821835889563,0.1798258880640873,0.0323373500180376
GLM_1_AutoML_3_20260728_193450,0.0257883878573533,0.0615035387380968,0.1274707154952105,0.0162487833088609
DeepLearning_grid_3_AutoML_3_20260728_193450_model_1,0.028735632183908,0.10779957745851,0.1765558225189576,0.0311719584653456
DeepLearning_grid_1_AutoML_3_20260728_193450_model_1,0.0343353964043619,0.0692508945710834,0.1450065018573472,0.0210268855809048
DeepLearning_grid_2_AutoML_3_20260728_193450_model_1,0.0343353964043619,0.0748583959777504,0.1501953823457753,0.0225586528779936
DeepLearning_1_AutoML_3_20260728_193450,0.0430297671676982,0.1430356027411999,0.2045905085558527,0.0418572761911424
